496225124352,WTF?
496283844608,lmfao
496283844609,LOLLLLLL
496283844610,dayum
496288038912,how old is she???
496288038913,copypasta
496288038914,whoa!!!
496288038915,noice
496288038916,This takes me back.
496288038917,this shit is fire
496288038918,LET HER COOK
496288038919,GOD-TIER TALENT
496288038920,REAL???
496288038921,omg...
496288038922,yunyun is sooo cute!
496288038923,glad to be online for once
496288038924,( ﾟ∀ﾟ)o彡 YUNYUN!
496288038925,"i googled her, she's cute"
496288038926,"damn, gettin famous already???"
496288038927,"holy shiiiiii, she's blowin UPPP"
496288038928,<●><●>
496288038929,maybe she's a bot
496288038930,"wait, WHAT?"
496288038931,SMASHED THAT FOLLOW BUTTON
496288038932,"Rooting for you, Yunyun!"
496288038933,HOLD UP
496288038934,what the hell is going on???
496288038935,how is she doing this???
496288038936,??????
496288038937,UNREAL
496288038938,THE GREATEST TO EVER DO IT
